39617,2014-011B,Astra 5B,24,2
43127,2018-004S,Astranis Demosat-2,49,1
47430,2021-006T,Astrocast-0101,50,3
47488,2021-006CD,Astrocast-0102,50,3
47487,2021-006CC,Astrocast-0103,50,3
47519,2021-006DK,Astrocast-0104,50,3
47517,2021-006DH,Astrocast-0105,50,3
48954,2021-059CD,Astrocast-0201,50,3
48961,2021-059CL,Astrocast-0202,50,3
48955,2021-059CE,Astrocast-0203,50,3
48952,2021-059CB,Astrocast-0204,50,3
48960,2021-059CK,Astrocast-0205,50,3
40930,2015-052A,Astrosat,51,1
44333,2019-034A,AT&T T16,52,2
46275,2020-061D,Athena,53,2
39509,2014-006B,Athena-Fidus,30,2
41168,2015-077C,Athenoxat-1,54,1
39079,2013-006B,Azerspace 1/Africasat-1a,55,2
43632,2018-074A,Azerspace 2/Intelsat-38,55,2
29526,2006-051A,Badr 4,35,4
36592,2010-025A,Badr 5,35,4
36745,2010-032B,Badr 5A,35,2
33154,2008-034B,Badr 6,35,2
41029,2015-065B,Badr 7,35,2
43463,2018-044A,Bangabandhu 1,56,3
49814,2021-117C,Baoyun,57,12
40420,2015-009A,Cosmos 2503,58,13
41394,2016-020A,Cosmos 2515,58,13
44879,2019-093A,BDSAGR-1,59,14
52175,2022-033U,BDSAT,60,3
48083,2021-022AM,Beesat-5,61,4
47957,2021-022AB,Beesat-6,61,4
48084,2021-022AN,Beesat-7,61,4
48085,2021-022AP,Beesat-8,61,4
44412,2019-038AC,Beesat-9,61,10
38250,2012-018A,Beidou 2-12,62,9
38251,2012-018B,Beidou 2-13,62,9
38775,2012-050B,Beidou 2-15,62,9
38953,2012-059A,Beidou 2-16,62,9
41434,2016-021A,Beidou 2-17,62,9
41586,2016-037A,Beidou 2-18,62,9
40549,2015-019A,Beidou 3I-1S,62,9
40938,2015-053A,Beidou 3I-2S,62,9
43001,2017-069A,Beidou 3-M1,62,9
44542,2019-061A,Beidou 3-23,62,9
44543,2019-061B,Beidou 3-24,62,9
43002,2017-069B,Beidou 3-25,62,9
40748,2015-037A,Beidou 3M-1S,62,9
40749,2015-037B,Beidou 3M-2S,62,9
43107,2018-003A,Beidou DW 26,62,9
43108,2018-003B,Beidou DW 27,62,9
43207,2018-018A,Beidou DW 28,62,9
43208,2018-018B,Beidou DW 29,62,9
43246,2018-029A,Beidou DW 30,62,9
43245,2018-029B,Beidou DW 31,62,9
43539,2018-057A,Beidou DW 32,62,9
43581,2018-062A,Beidou DW 33,62,9
43582,2018-062B,Beidou DW 34,62,9
43602,2018-067A,Beidou DW 35,62,9
43603,2018-067B,Beidou DW 36,62,9
43622,2018-072A,Beidou DW 37,62,9
43623,2018-072B,Beidou DW 38,62,9
43647,2018-078A,Beidou DW 39,62,9
43648,2018-078B,Beidou DW 40,62,9
43683,2018-085A,Beidou DW 41,62,9
43706,2018-093A,Beidou DW 42,62,9
43707,2018-093B,Beidou DW 43,62,9
44204,2019-023A,Beidou DW 44,62,9
44231,2019-027A,Beidou DW 45,62,9
44337,2019-035A,Beidou DW 46,62,9
44709,2019-073A,Beidou 3 IGSO-3,62,9
44793,2019-078A,Beidou DW 50,62,9
44794,2019-078B,Beidou DW 51,62,9
44864,2019-090A,Beidou DW 52,62,9
44865,2019-090B,Beidou DW 53,62,9
45807,2020-040A,Beidou DW 55,62,9
45344,2020-017A,Beidou G3,62,9
37210,2010-057A,Beidou G4,62,9
38091,2012-008A,Beidou G5,62,9
36828,2010-036A,Beidou IGSO-1,62,9
37256,2010-068A,Beidou IGSO-2,62,9
37384,2011-013A,Beidou IGSO-3,62,9
37763,2011-038A,Beidou IGSO-4,62,9
37948,2011-073A,Beidou IGSO-5,62,9
48840,2021-050A,Beijing-3,63,14
28890,2005-043A,BeijinGalaxy-1,64,13
41238,2016-001A,Belintersat-1,65,9
26959,2001-049C,Bispectral InfraRed Detector 2 (Bird 2),66,1
41604,2016-040F,BIROS,67,1
40968,2015-058E,BisonSat,68,3
38708,2012-039B,BKA 2,69,4
43730,2018-096M,BlackSky Global 1,491,1
49469,2021-106A,BlackSky Global 14,491,6
49470,2021-106B,BlackSky Global 15,491,6
49950,2021-120B,BlackSky Global 16,491,6
49949,2021-120A,BlackSky Global 17,491,6
52196,2022-034B,BlackSky Global 18,491,6
43812,2018-099BG,BlackSky Global 2,491,5
52197,2022-034C,BlackSky Global 20,491,6
44367,2019-037C,BlackSky Global 3,491,6
44499,2019-054E,BlackSky Global 4,491,6
46088,2020-055BP,BlackSky Global 7,491,3
46089,2020-055BQ,BlackSky Global 8,491,3
47971,2021-023G,BlackSky Global 9,491,6
41787,2016-059E,BlackSky Pathfinder 1,491,1
42907,2017-046A,Cosmos 2520,58,4
43432,2018-037A,Cosmos 2526,58,4
43867,2018-107A,Cosmos 2533,58,4
44457,2019-048A,Cosmos 2539,58,4
44105,2019-018AD,Bluewalker 1,70,1
26469,2000-046A,Brazilsat B-4,71,2
48876,2021-058F,Brik-II,58,5
43813,2018-099BH,BRIO,72,5
41591,2016-039A,BRISat,73,2
40020,2014-033L,BRITE-CA-1,74,7
40119,2014-049B,BRITE-PL-2,75,14
44495,2019-054A,BRO-1,76,6
49066,2021-073A,BRO-4,76,2
52174,2022-033T,BRO-7,76,3
32019,2007-036B,BSAT-3A,77,2
37207,2010-056B,BSAT-3B,77,2
37776,2011-041B,BSAT-3C/JCSat 110-R,77,2
42951,2017-059B,BSAT-4A,77,2
46112,2020-056A,BSAT-4B,77,2
43014,2017-073B,Buccaneer RMM,78,5
44312,2019-032C,Bufeng-1A,79,15
44314,2019-032E,Bufeng-1B,79,15
40014,2014-033E,Bugsat-1,80,7
42801,2017-038A,BulgariaSat-1,81,3
29108,2006-016B,Calipso,501,5
32790,2008-021H,CanX-2,74,1
40055,2014-034C,CanX-4,74,1
40056,2014-034D,CanX-5,74,1
41788,2016-059F,CanX-7,74,1
47309,2021-002A,CAPE-3,84,5
43791,2018-099AK,Capella-1,82,5
46269,2020-060B,Capella-2,82,6
47489,2021-006CE,Capella-3,82,3
47481,2021-006BW,Capella-4,82,3
48913,2021-059AL,Capella-5,82,3
48605,2021-041BE,Capella-6,82,3
51072,2022-002CS,Capella-7,82,3
51071,2022-002CR,Capella-8,82,3
28649,2005-017A,CartoSat 1,83,1
29710,2007-001B,CartoSat 2,83,1
32783,2008-021A,CartoSat 2A,83,1
36795,2010-035A,CartoSat 2B,83,1
41599,2016-040A,CartoSat 2C,83,1
41948,2017-008A,CartoSat 2D,83,1
42767,2017-036C,CartoSat 2E,83,1
43111,2018-004A,CartoSat 2F,83,1
44804,2019-081A,CartoSat 3,83,1
47932,2021-022A,CAS500-1,85,4
39265,2013-055A,Cassiope,86,5
43339,2018-036A,USA 283,10,3
40336,2014-079A,CBERS 4,87,14
40718,2015-032D,CBNT-1,88,1
43115,2018-004E,CBNT-2,502,1
41850,2016-067C,CELTEE-1,89,5
43809,2018-099BD,Centauri-1,90,1
43722,2018-096D,Centauri-2,90,5
43636,2018-075A,Centispace-1-S1,91,12
43853,2018-104E,CeReS,432,6
49464,2021-105A,CERES,93,2
49465,2021-105B,CERES,93,2
49466,2021-105C,CERES,93,2
42769,2017-036E,CE-SAT-1,94,1
46818,2020-077F,CE-SAT-2B,94,6
49261,2021-088B,Cesium Satellite 1,95,5
49262,2021-088C,Cesium Satellite 2,95,5
30777,2007-006F,CFESat,96,3
43662,2018-083A,CFOSat,97,12
47956,2021-022AA,Challenge One,98,4
25867,1999-040B,Chandra X-Ray Observatory (CXO),432,3
43669,2018-083H,Changshagaoxin,216,12
41899,2016-081B,Chao Fenbianlu,99,12
51843,2022-019V,Chaohu-1,216,16
49315,2021-091A,CHASE,100,14
44874,2019-092B,CHEOPS,12,2
43855,2018-104G,CHOMPTT,102,6
28058,2003-049B,Chuangxin 1-1,103,14
33434,2008-056B,Chuangxin 1-2,103,12
37930,2011-068A,Chuangxin 1-3,103,12
40137,2014-051B,Chuangxin 1-4,103,12
39209,2013-037B,Chuangxin-3,103,14
43690,2018-088A,Cicero-10,104,6
42848,2017-042Z,Cicero-2,104,4
42849,2017-042AA,Cicero-3,104,4
42793,2017-036AE,Cicero-6,104,1
43143,2018-004AJ,Cicero-7,104,1
43737,2018-096U,Cicero-8,104,1
33453,2008-063A,Ciel-2,105,4
38764,2012-048G,CINEMA-1,106,5
45121,2019-071L,CiRiS,107,8
40208,2014-055A,USA 257,108,3
29107,2006-016A,Cloudsat,503,5
47256,2020-099A,CMS-1,83,1
48875,2021-058D,CNCE-1,109,5
48874,2021-058E,CNCE-3,109,5
42777,2017-036N,Compass-2,110,1
36744,2010-032A,COMS-1,85,2
35943,2009-054B,COMSATBw-1,504,2
36582,2010-021B,COMSATBw-2,504,2
40353,2014-084A,Condor E2,504,4
27640,2003-001A,Coriolis,505,5
42846,2017-042X,CORVUS BC1,111,4
42847,2017-042Y,CORVUS BC2,111,4
43118,2018-004H,CORVUS BC3,111,1
43767,2018-099K,CORVUS BC4,111,5
46931,2020-085C,CORVUS BC5,111,6
44349,2019-036L,COSMIC 2-1,112,3
44351,2019-036N,COSMIC 2-2,112,3
44343,2019-036E,COSMIC 2-3,112,3
44350,2019-036M,COSMIC 2-4,112,3
44358,2019-036V,COSMIC 2-5,112,3
44353,2019-036Q,COSMIC 2-6,112,3
29047,2006-011A,COSMIC-A,113,5
29048,2006-011B,COSMIC-B,113,5
29050,2006-011D,COSMIC-D,113,5
29051,2006-011E,COSMIC-E,113,5
29052,2006-011F,COSMIC-F,113,5
40555,2015-020D,Cosmos 2504,58,13
44421,2019-039A,Cosmos 2535,58,13
44424,2019-039D,Cosmos 2536,58,13
44797,2019-079A,Cosmos 2542,58,13
44835,2019-079D,Cosmos 2543,58,13
44422,2019-039B,Cosmos 2537,58,13
44423,2019-039C,Cosmos 2538,58,13
31598,2007-023A,COSMO-Skymed 1,114,5
32376,2007-059A,COSMO-Skymed 2,114,5
33412,2008-054A,COSMO-Skymed 3,114,5
37216,2010-060A,COSMO-Skymed 4,114,5
51444,2022-008A,COSMO-Skymed FM2,114,3
40380,2015-003E,CP-10,506,5
36508,2010-013A,Cryosat-2,12,4
44873,2019-092A,CSG-1,114,2
43793,2018-099AM,CSIM-FD,115,5
43866,2018-106A,CSO-1,116,2
47305,2020-104A,CSO-2,116,2
39440,2013-066AA,Cubebug 2,117,7
43858,2018-104K,Cubesail USAT,118,6
27848,2003-031J,Cubesat XI-IV,119,13
49264,2021-088E,CuPID,92,5
49263,2021-088D,CUTE,120,5
48922,2021-059AV,D2/AtlaCom-1,507,3
39766,2014-029A,Daichi-2,121,17
41173,2015-078A,DAMPE,103,12
43857,2018-104J,DaVinci,122,6
51845,2022-019X,Dayun,508,16
40912,2015-049P,DCBB,123,14
35681,2009-041A,Deimos 1,124,4
40013,2014-033D,Deimos 2,124,7
46493,2020-068H,Dekart,25,13
32789,2008-021G,Delfi-C3,125,1
49016,2021-013F,DhabiSat-1,126,8
42922,2017-050B,DHFR,127,3
42786,2017-036X,Diamond Blue,128,1
42785,2017-036W,Diamond Green,128,1
42783,2017-036U,Diamond Red,128,1
42000,2017-008BE,Dido-2,129,1
46284,2020-061N,Dido-3,129,2
31862,2007-032A,DirecTV-10,52,4
32729,2008-013A,DirecTV-11,52,15
36131,2009-075A,DirecTV-12,52,4
40333,2014-078B,DirecTV-14,52,2
40663,2015-026A,DirecTV-15,52,2
27426,2002-023A,DirecTV-5,52,4
28659,2005-019A,DirecTV-8,52,4
29494,2006-043A,DirecTV-9S,52,2
43678,2018-084H,Diwata-2B,130,17
25757,1999-029B,DLR Tubsat,131,1
40715,2015-032A,DMC 3-1,88,1
40716,2015-032B,DMC 3-2,88,1
40717,2015-032C,DMC 3-3,88,1
47940,2021-022J,DMSat-1,132,4
24753,1997-012A,USA 131,133,5
25991,1999-067A,USA 147,133,5
28054,2003-048A,USA 172,133,5
29522,2006-050A,USA 173,133,5
35951,2009-057A,USA 210,133,5
44399,2019-038P,DoT-1,88,10
