86,Canadian Space Agency,Canada,6767 Rte de l'Aéroport Saint-Hubert QC J3Y 8Y9
87,China National Space Administration / National Institute for Space Research (Brazil),China / Brazil,Beijing / São José dos Campos São Paulo
88,Surrey Satellite Technology Ltd.,United Kingdom,Guildford
89,Air Force Research Laboratory,United States of America,Wright-Patterson Air Force Base Ohio
90,Fleet Space Technologies,Australia,8a Myer Ct Beverley SA 5009
91,Beijing Future Navigation Technology Co. Ltd.,China,Beijing
92,NASA,United States of America,300 E St SW Washington DC 20546
93,Ministry of Armed Forces,France,Hôtel de Brienne Paris 7e French Republic - Hexagone Balard Paris 15e
94,Canon Electronics,Japan,3-5-10ShibakoenMinato-kuTokyo 105-0011
95,Defense Innovation Unit / Cesium Astro,United States of America,Mountain View California / Austin Texas
96,Los Alamos National Laboratory,United States of America,New Mexico 87545
97,China National Space Administration / National Centre for Space Studies,China / France,Pequim / Paris
98,TELNET Holding,Tunisia,Rue Du Lac Léman Tunis 1053
99,Shanghai Engineering Center for Microsatellites,China,99 Haike Road Pudong District. Shanghai 201203
100,Nanjing University,China,Gulou Nanjing Jiangsu 210093
101,Naval Research Laboratory,United States of America,Washington D.C.
102,University of Florida,United States of America,Gainesville FL 32611
103,Chinese Academy of Sciences,China,52 Sanlihe Rd Xicheng District Beijing 100045
104,GeoOptics Inc.,United States of America,201 N Orange Grove Blvd Pasadena CA 91103
105,Ciel Satellite Group,Canada,Ottawa Ontario
106,University of California-Berkeley / Imperial College-London,United States of America / United Kingdom,Berkeley CA / Exhibition Rd South Kensington London SW7 2BX
107,Utah State University,United States of America,Logan UT 84322
108,Unknown US agency,United States of America,Unknown
109,Department of Defense / Missile Defense Agency,United States of America,Virginia / Colorado Springs Colorado
110,FH Aachen,Germany,Bayernallee 11 52066 Aachen
111,Astro Digital,United States of America,3171 Jay St Santa Clara CA 95054
112,Taiwan's National Space Organization / National Oceanographic and Atmospheric Admistration,Taiwan / United States of America,8F 9 Prosperity 1st Road Hsinchu Science Park HsinChu City 300 / Washington D.C
113,National Space Program Office / University Corporation for Atmospheric Research,Taiwan / United States of America,Hsinchu Science Park / Boulder Colorado
114,Italian Space Agency / Ministry of Defense,Italy,Rome / Via Venti Settembre 8 00187 Roma RM
115,University of Colorado Denver,United States of America,1201 Larimer St Denver CO 80204
116,Directorate General of Armaments,France,Unknown
117,Argentinian Ministry of Science Technology and Productive Innovation / Radio Club Bariloche,Argentina,Godoy Cruz 2320 Buenos Aires / San Carlos de Bariloche Río Negro
118,University of Illinois Urbana-Champaign,United States of America,Champaign IL
119,Department of Astronautics University of Tokyo,Japan,Faculty of Engineering Bldg.7 7 Chome-3-1 Hongo 文京区 Bunkyo City Tokyo 113-0033
120,Department of Astrophysical and Planetary Science UC Boulder / NASA,United States of America,2000 Colorado Ave Boulder CO 80305 / 300 E St SW Washington DC 20546
121,Japan Aerospace Exploration Agency,Japan,Chofu-city Tokyo
122,North Idaho STEM Charter Academy,United States of America,15633 N Meyer Rd Rathdrum ID 83858
123,China Amateur Satellite - CAMSAT,China,Unknown
