44859,1
42775,20
41460,19
39508,3
41588,3
40424,3
28184,3
25924,3
47937,38
47939,38
47943,38
47237,55
25336,55
27937,55
33490,55
37232,55
38528,55
41584,55
38254,57
39256,57
43651,57
44481,57
45465,57
38760,38
43600,37
44485,2
44484,2
43861,2
43849,2
43556,2
43557,2
45114,56
45116,56
45117,56
40965,2
40045,2
40046,2
40966,2
43042,2
43043,2
41853,2
41852,2
33460,3
48270,3
47440,3
31304,37
36797,39
40075,39
43768,1
44103,1
43174,3
43039,39
44824,12
52160,20
43805,20
39467,56
41785,37
41789,38
36798,37
41786,37
35942,3
39078,3
39616,3
42934,3
47699,37
24315,3
28252,3
28446,3
29644,3
33275,3
25954,3
26580,3
26639,3
44394,22
44479,57
32794,57
39237,57
44479,3
45920,3
39237,3
7530,21
45920,57
45726,22
45726,23
44876,39
26624,3
28868,3
28378,3
31102,3
39127,3
28372,3
40019,3
28366,3
35686,3
35684,3
28372,2
40019,6
28366,2
35686,6
35684,6
37792,3
39416,3
39425,3
40018,3
39425,6
40018,6
43450,3
45863,3
38107,3
40982,3
37810,39
44186,3
47484,20
47615,20
47616,20
52161,59
49403,20
47719,37
43130,2
44352,20
40272,3
40941,3
48953,1
47441,19
35696,3
40141,3
37933,3
40107,3
42942,3
26107,3
40298,37
43152,37
49397,20
25071,3
29055,3
31306,3
33436,3
37775,3
25462,3
26853,3
26638,3
39285,3
38778,3
40364,3
27400,3
36581,3
39617,3
43127,2
47430,3
47488,3
47487,3
47519,3
47517,3
48954,3
48961,3
48955,3
48952,3
48960,3
40930,40
44333,3
46275,3
39509,57
39509,39
41168,2
39079,39
43632,39
29526,39
36592,39
36745,39
33154,39
41029,39
43463,39
49814,21
40420,55
41394,55
44879,1
52175,41
48083,23
47957,23
48084,23
48085,23
44412,20
38250,43
38251,43
38775,43
38953,43
41434,43
41586,43
40549,43
40938,43
43001,43
44542,43
44543,43
43002,43
40748,43
40749,43
43107,43
43108,43
43207,43
43208,43
43246,43
43245,43
43539,43
43581,43
43582,43
43602,43
43603,43
43622,43
43623,43
43647,43
43648,43
43683,43
43706,43
43707,43
44204,43
44231,43
44337,43
44709,43
44793,43
44794,43
44864,43
44865,43
45807,43
45344,43
37210,43
38091,43
36828,43
37256,43
37384,43
37763,43
37948,43
38250,44
38251,44
38775,44
38953,44
41434,44
41586,44
40549,44
40938,44
43001,44
44542,44
44543,44
43002,44
40748,44
40749,44
43107,44
43108,44
43207,44
43208,44
43246,44
43245,44
43539,44
43581,44
43582,44
43602,44
43603,44
43622,44
43623,44
